Microbial Genomics,2057-5858,2057-5858,GENETICS & HEREDITY - SCIE,Q1,20
JOURNAL OF MEDICAL GENETICS,0022-2593,1468-6244,GENETICS & HEREDITY - SCIE,Q1,21
HUMAN GENETICS,0340-6717,1432-1203,GENETICS & HEREDITY - SCIE,Q1,22
CRISPR Journal,2573-1599,2573-1602,GENETICS & HEREDITY - SCIE,Q1,23
Molecular Autism,2040-2392,2040-2392,GENETICS & HEREDITY - SCIE,Q1,24
GENETIC EPIDEMIOLOGY,0741-0395,1098-2272,GENETICS & HEREDITY - SCIE,Q1,25
Mobile DNA,1759-8753,1759-8753,GENETICS & HEREDITY - SCIE,Q1,26
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,GENETICS & HEREDITY - SCIE,Q1,27
ONCOGENE,0950-9232,1476-5594,GENETICS & HEREDITY - SCIE,Q1,28
GENETICS,0016-6731,1943-2631,GENETICS & HEREDITY - SCIE,Q1,29
Epigenetics & Chromatin,N/A,1756-8935,GENETICS & HEREDITY - SCIE,Q1,30
Biology of Sex Differences,N/A,2042-6410,GENETICS & HEREDITY - SCIE,Q1,31
HUMAN MUTATION,1059-7794,1098-1004,GENETICS & HEREDITY - SCIE,Q1,32
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,1476-5438,GENETICS & HEREDITY - SCIE,Q1,33
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,1552-4868,1552-4876,GENETICS & HEREDITY - SCIE,Q1,34
Clinical Epigenetics,1868-7075,1868-7083,GENETICS & HEREDITY - SCIE,Q1,35
Genes & Diseases,2352-4820,2352-3042,GENETICS & HEREDITY - SCIE,Q1,36
Neurology-Genetics,2376-7839,2376-7839,GENETICS & HEREDITY - SCIE,Q1,37
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,1388-2139,GENETICS & HEREDITY - SCIE,Q1,38
CHROMOSOMA,0009-5915,1432-0886,GENETICS & HEREDITY - SCIE,Q1,39
Human Genomics,1473-9542,1479-7364,GENETICS & HEREDITY - SCIE,Q1,40
DNA REPAIR,1568-7864,1568-7856,GENETICS & HEREDITY - SCIE,Q1,41
HUMAN GENE THERAPY,1043-0342,1557-7422,GENETICS & HEREDITY - SCIE,Q1,42
Journal of Genetics and Genomics,1673-8527,1873-5533,GENETICS & HEREDITY - SCIE,Q1,43
Orphanet Journal of Rare Diseases,N/A,1750-1172,GENETICS & HEREDITY - SCIE,Q2,1
Genome Biology and Evolution,1759-6653,1759-6653,GENETICS & HEREDITY - SCIE,Q2,2
EVOLUTION,0014-3820,1558-5646,GENETICS & HEREDITY - SCIE,Q2,3
DNA RESEARCH,1340-2838,1756-1663,GENETICS & HEREDITY - SCIE,Q2,4
Environmental Microbiome,N/A,2524-6372,GENETICS & HEREDITY - SCIE,Q2,5
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,1432-1440,GENETICS & HEREDITY - SCIE,Q2,6
CHROMOSOME RESEARCH,0967-3849,1573-6849,GENETICS & HEREDITY - SCIE,Q2,7
MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1095-9513,GENETICS & HEREDITY - SCIE,Q2,8
Horticulture Research,2662-6810,2052-7276,GENETICS & HEREDITY - SCIE,Q2,9
CLINICAL GENETICS,0009-9163,1399-0004,GENETICS & HEREDITY - SCIE,Q2,10
JOURNAL OF INHERITED METABOLIC DISEASE,0141-8955,1573-2665,GENETICS & HEREDITY - SCIE,Q2,11
Epigenetics,1559-2294,1559-2308,GENETICS & HEREDITY - SCIE,Q2,12
Plant Genome,N/A,1940-3372,GENETICS & HEREDITY - SCIE,Q2,13
Advances in Genetics,0065-2660,N/A,GENETICS & HEREDITY - SCIE,Q2,14
HEREDITY,0018-067X,1365-2540,GENETICS & HEREDITY - SCIE,Q2,15
BMC GENOMICS,1471-2164,1471-2164,GENETICS & HEREDITY - SCIE,Q2,16
Briefings in Functional Genomics,2041-2649,2041-2657,GENETICS & HEREDITY - SCIE,Q2,17
BMC EVOLUTIONARY BIOLOGY,1471-2148,1471-2148,GENETICS & HEREDITY - SCIE,Q2,18
GENES AND IMMUNITY,1466-4879,1476-5470,GENETICS & HEREDITY - SCIE,Q2,19
MOLECULAR GENETICS AND METABOLISM,1096-7192,1096-7206,GENETICS & HEREDITY - SCIE,Q2,20
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1552-4841,1552-485X,GENETICS & HEREDITY - SCIE,Q2,21
GENES CHROMOSOMES & CANCER,1045-2257,1098-2264,GENETICS & HEREDITY - SCIE,Q2,22
G3-Genes Genomes Genetics,2160-1836,2160-1836,GENETICS & HEREDITY - SCIE,Q2,23
Frontiers in Genetics,N/A,1664-8021,GENETICS & HEREDITY - SCIE,Q2,24
GENETICS SELECTION EVOLUTION,0999-193X,1297-9686,GENETICS & HEREDITY - SCIE,Q2,25
BEHAVIOR GENETICS,0001-8244,1573-3297,GENETICS & HEREDITY - SCIE,Q2,26
Epigenomics,1750-1911,1750-192X,GENETICS & HEREDITY - SCIE,Q2,27
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,GENETICS & HEREDITY - SCIE,Q2,28
MITOCHONDRION,1567-7249,1872-8278,GENETICS & HEREDITY - SCIE,Q2,29
NEUROGENETICS,1364-6745,1364-6753,GENETICS & HEREDITY - SCIE,Q2,30
Genes,N/A,2073-4425,GENETICS & HEREDITY - SCIE,Q2,31
JOURNAL OF HUMAN GENETICS,1434-5161,1435-232X,GENETICS & HEREDITY - SCIE,Q2,32
GENE THERAPY,0969-7128,1476-5462,GENETICS & HEREDITY - SCIE,Q2,33
CANCER GENE THERAPY,0929-1903,1476-5500,GENETICS & HEREDITY - SCIE,Q2,34
PRENATAL DIAGNOSIS,0197-3851,1097-0223,GENETICS & HEREDITY - SCIE,Q2,35
BMC Medical Genomics,N/A,1755-8794,GENETICS & HEREDITY - SCIE,Q2,36
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,1573-7330,GENETICS & HEREDITY - SCIE,Q2,37
Biotechnology & Genetic Engineering Reviews,0264-8725,2046-5556,GENETICS & HEREDITY - SCIE,Q2,38
PHYSIOLOGICAL GENOMICS,1094-8341,1531-2267,GENETICS & HEREDITY - SCIE,Q2,39
Forensic Science International-Genetics,1872-4973,1878-0326,GENETICS & HEREDITY - SCIE,Q2,40
PLASMID,0147-619X,1095-9890,GENETICS & HEREDITY - SCIE,Q2,41
JOURNAL OF HEREDITY,0022-1503,1465-7333,GENETICS & HEREDITY - SCIE,Q2,42
Molecular Diagnosis & Therapy,1177-1062,1179-2000,GENETICS & HEREDITY - SCIE,Q2,43
FUNGAL GENETICS AND BIOLOGY,1087-1845,1096-0937,GENETICS & HEREDITY - SCIE,Q2,44
MAMMALIAN GENOME,0938-8990,1432-1777,GENETICS & HEREDITY - SCIE,Q2,45
JOURNAL OF EVOLUTIONARY BIOLOGY,1010-061X,1420-9101,GENETICS & HEREDITY - SCIE,Q3,1
Genes and Nutrition,1555-8932,1865-3499,GENETICS & HEREDITY - SCIE,Q3,2
GENOMICS,0888-7543,1089-8646,GENETICS & HEREDITY - SCIE,Q3,3
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1552-4825,1552-4833,GENETICS & HEREDITY - SCIE,Q3,4
GENESIS,1526-954X,1526-968X,GENETICS & HEREDITY - SCIE,Q3,5
IMMUNOGENETICS,0093-7711,1432-1211,GENETICS & HEREDITY - SCIE,Q3,6
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,GENETICS & HEREDITY - SCIE,Q3,7
Journal of Genetic Counseling,1059-7700,1573-3599,GENETICS & HEREDITY - SCIE,Q3,8
PHARMACOGENOMICS JOURNAL,1470-269X,1473-1150,GENETICS & HEREDITY - SCIE,Q3,9
NEW GENETICS AND SOCIETY,1463-6778,1469-9915,GENETICS & HEREDITY - SCIE,Q3,10
CURRENT GENETICS,0172-8083,1432-0983,GENETICS & HEREDITY - SCIE,Q3,11
European Journal of Medical Genetics,1769-7212,1878-0849,GENETICS & HEREDITY - SCIE,Q3,12
Public Health Genomics,1662-4246,1662-8063,GENETICS & HEREDITY - SCIE,Q3,13
Pharmacogenetics and Genomics,1744-6872,1744-6880,GENETICS & HEREDITY - SCIE,Q3,14
Twin Research and Human Genetics,1832-4274,1839-2628,GENETICS & HEREDITY - SCIE,Q3,15
THEORETICAL POPULATION BIOLOGY,0040-5809,1096-0325,GENETICS & HEREDITY - SCIE,Q3,16
CONSERVATION GENETICS,1566-0621,1572-9737,GENETICS & HEREDITY - SCIE,Q3,17
Cancer Genetics,2210-7762,2210-7770,GENETICS & HEREDITY - SCIE,Q3,18
EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,GENETICS & HEREDITY - SCIE,Q3,19
GENES TO CELLS,1356-9597,1365-2443,GENETICS & HEREDITY - SCIE,Q3,20
Familial Cancer,1389-9600,1573-7292,GENETICS & HEREDITY - SCIE,Q3,21
